Pathogen,Characteristic,min,low,high,max,quote1,source1,quote2,source2,quote3,source3,quote4,source4
Flu,Exposure,,-4,-1,,"The time from when a person is exposed and infected with flu to when symptoms begin is about two days, but can range from about one to four days.","https://www.cdc.gov/flu/about/keyfacts.htm#:~:text=The%20time%20from%20when%20a,about%20one%20to%20four%20days.","The incubation period usually is 1 to 4 days, with a mean of 2 days.","David W. Kimberlin MD, FAAP, ed. 2021. Red Book: 2021-2024 Report of the Committee on Infectious Diseases - 32nd Ed. Printed in the United States of America. American Academy of Pediatrics. ISBN-10: 1-61002-521-0. eISBN-10: 1-61002-522-9. ISSN 1080-0131. STAT!Ref Online Electronic Medical Library.  https://online.statref.com/document/1u1ezhGhRabRXjehTqQRTN. 11/29/2023 11:42:08 AM CST (UTC -06:00). ",,,,
Flu,Contagious,-2,-1,7,10,"Flu viruses can be detected in most infected persons beginning one day before symptoms develop and up to five to seven days after becoming sick. People with flu are most contagious in the first three to four days after their illness begins. However, infants and people with weakened immune systems who are infected with flu viruses may be contagious for longer than seven days.",https://www.cdc.gov/flu/about/disease/spread.htm,Patients may be infectious 24 hours before onset of symptoms. Viral shedding in nasal secretions usually peaks during the first 3 days of illness and ceases within 7 days but can be prolonged (10 days or longer) in young children and immunodeficient patients.,"David W. Kimberlin MD, FAAP, ed. 2021. Red Book: 2021-2024 Report of the Committee on Infectious Diseases - 32nd Ed. Printed in the United States of America. American Academy of Pediatrics. ISBN-10: 1-61002-521-0. eISBN-10: 1-61002-522-9. ISSN 1080-0131. STAT!Ref Online Electronic Medical Library.  https://online.statref.com/document/1u1ezhGhRabRXjehTqQRTN. 11/29/2023 11:42:08 AM CST (UTC -06:00). ","In symptomatic patients, RNA viral loads start to be detectable
by real-time PCR 2 days before the onset of symptoms and peak
at 1 dpos202",https://www.nature.com/articles/s41579-022-00822-w,,
Flu,Symptoms,,0,3,7,"Uncomplicated influenza signs and symptoms typically resolve after 3-7 days for the majority of people, although cough and malaise can persist for >2 weeks, especially in elderly people and those with chronic lung disease.","https://www.cdc.gov/flu/professionals/acip/clinical.htm#:~:text=Uncomplicated%20influenza%20signs%20and%20symptoms,those%20with%20chronic%20lung%20disease.","Although the majority of children with influenza recover fully after 3 to 7 days of illness, complications may occur, even in previously healthy children. ","David W. Kimberlin MD, FAAP, ed. 2021. Red Book: 2021-2024 Report of the Committee on Infectious Diseases - 32nd Ed. Printed in the United States of America. American Academy of Pediatrics. ISBN-10: 1-61002-521-0. eISBN-10: 1-61002-522-9. ISSN 1080-0131. STAT!Ref Online Electronic Medical Library.  https://online.statref.com/document/1u1ezhGhRabRXjehTqQRTN. 11/29/2023 11:42:08 AM CST (UTC -06:00). ",,,,
Flu,Antigen Testing,0,1,3,6,"n the current study, the mean time from symptom onset to test in the FN group was 11.4±10.9 h, and 22.0±17.3 h in the TP group. The FN group was tested significantly earlier than the TP group (p=0.009). This suggests that testing too early is a factor increasing FN results, a finding that is consistent with a previous report",https://bmjopen.bmj.com/content/4/1/e003885,"As shown in Table 3, there was a tendency toward lower
accuracy on the first day of symptoms, with highest sensitivity on days 2 and 3 and a rapid decline thereafter.",https://www.acpjournals.org/doi/abs/10.7326/0003-4819-156-7-201204030-00403,,,,
Flu,Outpatient Treatment,,0,2,4,"Clinicians can consider antiviral treatment for adults and children who are not at high risk of influenza complications, with documented or suspected influenza, irrespective of influenza vaccination history, who are either: 
• Outpatients with illness onset ≤2 days before presentation (C-I). 
• Symptomatic outpatients who are household contacts of persons who are at high risk of developing complications from influenza, particularly those who are severely immunocompromised (C-III).",https://academic.oup.com/cid/article/68/6/e1/5251935,"Antiviral treatment may be considered for the following individuals:
• Any previously healthy, symptomatic outpatient not at high risk for influenza complications in whom an influenza diagnosis is confirmed or suspected on the basis of clinical judgment, if treatment can be initiated within 48 hours of illness onset; and","David W. Kimberlin MD, FAAP, ed. 2021. Red Book: 2021-2024 Report of the Committee on Infectious Diseases - 32nd Ed. Printed in the United States of America. American Academy of Pediatrics. ISBN-10: 1-61002-521-0. eISBN-10: 1-61002-522-9. ISSN 1080-0131. STAT!Ref Online Electronic Medical Library.  https://online.statref.com/document/1u1ezhGhRabRXjehTqQRTN. 11/29/2023 11:42:08 AM CST (UTC -06:00). ",,,,
RSV,Exposure,-8,-6,-4,-2,People infected with RSV usually show symptoms within 4 to 6 days after getting infected. Symptoms of RSV infection usually include,https://www.cdc.gov/rsv/about/symptoms.html,"The incubation period ranges from 2 to 8 days; 4 to 6 days is most common.
","David W. Kimberlin MD, FAAP, ed. 2021. Red Book: 2021-2024 Report of the Committee on Infectious Diseases - 32nd Ed. Printed in the United States of America. American Academy of Pediatrics. ISBN-10: 1-61002-521-0. eISBN-10: 1-61002-522-9. ISSN 1080-0131. STAT!Ref Online Electronic Medical Library.  https://online.statref.com/document/1u1ezhGhRabRXjehTqQRTN. 11/29/2023 11:42:08 AM CST (UTC -06:00). ",,,,
RSV,Contagious,,-1,8,,"People infected with RSV are usually contagious for 3 to 8 days and may become contagious a day or two before they start showing signs of illness. However, some infants, and people with weakened immune systems, can continue to spread the virus even after they stop showing symptoms, for as long as 4 weeks. ",https://www.cdc.gov/rsv/about/transmission.html,"The usual period of viral shedding is 3 to 8 days, but it may be longer, especially in young infants and immunosuppressed children, in whom shedding may continue for 3 to 4 weeks or longer.","David W. Kimberlin MD, FAAP, ed. 2021. Red Book: 2021-2024 Report of the Committee on Infectious Diseases - 32nd Ed. Printed in the United States of America. American Academy of Pediatrics. ISBN-10: 1-61002-521-0. eISBN-10: 1-61002-522-9. ISSN 1080-0131. STAT!Ref Online Electronic Medical Library.  https://online.statref.com/document/1u1ezhGhRabRXjehTqQRTN. 11/29/2023 11:42:08 AM CST (UTC -06:00). ","""I view the 28 days as an edge case"" - Isaac",Personal communication,,
RSV,Symptoms,,0,7,,"Most RSV infections go away on their own in a week or two. However, RSV can cause severe illness in some people.",https://www.cdc.gov/rsv/about/symptoms.html,,,,,,
RSV,Antigen Testing,,0,4,14,"The corresponding mean durations of shedding for the ‘fully observed’ episodes were 8·2 (95% CI 7·1–9·4), 10·9 (95% CI 9·8–12·1) and 13·6 (95% CI 12·4–14·8) days, respectively (NB. This is based on PCR detection)_",https://www.cambridge.org/core/journals/epidemiology-and-infection/article/influence-of-age-severity-of-infection-and-coinfection-on-the-duration-of-respiratory-syncytial-virus-rsv-shedding/34472B89F9319BA11B2C905EA38474BC?utm_campaign=shareaholic&utm_medium=copy_link&utm_source=bookmark,"""Less than half (44%) of the studies gave any information about the clinical presentation of the included patients, and very few (8%) provided information on the duration of symptoms before testing”",https://pubmed.ncbi.nlm.nih.gov/26354816/,"Quantitative culture based detection revealed a longer mean viral
incubation period (4.0,±1.5 days) and lower mean duration of shedding
(3.6, +/−1.1)",https://pubmed.ncbi.nlm.nih.gov/30007135/,,
RSV,Outpatient Treatment,,,,,"No available treatment shortens the course of bronchiolitis or hastens the resolution of symptoms. Management of young children hospitalized with bronchiolitis is supportive and should include hydration, careful assessment of respiratory status, and suction of the upper airway, as necessary.","David W. Kimberlin MD, FAAP, ed. 2021. Red Book: 2021-2024 Report of the Committee on Infectious Diseases - 32nd Ed. Printed in the United States of America. American Academy of Pediatrics. ISBN-10: 1-61002-521-0. eISBN-10: 1-61002-522-9. ISSN 1080-0131. STAT!Ref Online Electronic Medical Library.  https://online.statref.com/document/1u1ezhGhRabRXjehTqQRTN. 11/29/2023 11:42:08 AM CST (UTC -06:00). ",,,,,,
